8/30/18 22:32,BTC  WTC  ETH  AION  BTC  ,0.03006189,"Total Bitcoin Value (without using bot): 0.42639278126963864, USD Value Equivalent: 2979.607171945359",4,"BINANCE""2018/08/30 23:00:16""",BTC  HC  ETH  PIVX  BTC  ,0.03006189,"Total Bitcoin Value (without using bot): 0.4269984586257608, USD Value Equivalent: 2991.079367835299",4,BINANCE,,,,,
8/30/18 23:00,BTC  HC  ETH  AE  BTC  ,0.03006189,"Total Bitcoin Value (without using bot): 0.42699873841639735, USD Value Equivalent: 2990.7034338558315",4,BINANCE,,,,,,,,,,
8/30/18 23:07,BTC  ICX  ETH  BTC  ,0.03006189,"Total Bitcoin Value (without using bot): 0.42730627787727415, USD Value Equivalent: 2991.2550447731674",4,BINANCE,,,,,8/31/18 13:38,BTC  STEEM  ETH  AION  BTC  ,0.02758951,"Total Bitcoin Value (without using bot): 0.42867115305423664, USD Value Equivalent: 3024.2899882879965",4,BINANCE
8/31/18 14:16,BTC  MTL  ETH  AION  BTC  ,0.02758951,"Total Bitcoin Value (without using bot): 0.42791190287783787, USD Value Equivalent: 3007.9189993396712",4,BINANCE,,,,,,,,,,
9/3/18 12:02,BTC  WAN  ETH  DASH  BTC  ,0.02762541,"Total Bitcoin Value (without using bot): 0.42694948310630904, USD Value Equivalent: 3108.2413362044867",3,BINANCE,,,,,,,,,,
9/3/18 12:10,BTC  CLOAK  ETH  BTC  ,0.02762541,"Total Bitcoin Value (without using bot): 0.4265428951892815, USD Value Equivalent: 3106.518303806965",3,BINANCE,,,,,,,,,,
9/3/18 12:26,BTC  DGD  ETH  BTC  ,0.02762541,"Total Bitcoin Value (without using bot): 0.42788837314073075, USD Value Equivalent: 3133.687568417187",3,BINANCE,,,,,,,,,,
9/4/18 1:19,BTC  AION  ETH  ONT  BTC  ,0.02986921,"Total Bitcoin Value (without using bot): 0.42820802452160156, USD Value Equivalent: 3128.6205716424224",3,BINANCE,,,,,,,,,,
9/4/18 11:44,BTC  RLC  ETH  BTC  ,0.02534061,"Total Bitcoin Value (without using bot): 0.4278537698862918, USD Value Equivalent: 3143.2812021908785",3,BINANCE,,,,,,,,,,
9/4/18 12:06,BTC  GVT  ETH  LUN  BTC  ,0.02534061,"Total Bitcoin Value (without using bot): 0.4265513483812832, USD Value Equivalent: 3134.3974147157965",3,BINANCE,,,,,,,,,,
9/4/18 12:10,BTC  NEBL  ETH  AION  BTC  ,0.02534061,"Total Bitcoin Value (without using bot): 0.4265409026877116, USD Value Equivalent: 3137.088907815366",3,BINANCE,,,,,,,,,,
9/4/18 12:10,BTC  NEBL  ETH  BTC  ,0.02534061,"Total Bitcoin Value (without using bot): 0.42651476547302003, USD Value Equivalent: 3137.1333916145672",3,BINANCE,,,,,,,,,,
9/4/18 12:18,BTC  TRIG  ETH  BTC  ,0.02534061,"Total Bitcoin Value (without using bot): 0.42696965269019366, USD Value Equivalent: 3145.3295874454247",3,BINANCE,,,,,,,,,,
9/4/18 12:22,BTC  NEBL  ETH  INS  BTC  ,0.02534061,"Total Bitcoin Value (without using bot): 0.42710073545950766, USD Value Equivalent: 3143.8714296880175",3,BINANCE,,,,,,,,,,
9/4/18 12:32,BTC  MCO  ETH  MTL  BTC  ,0.02534061,"Total Bitcoin Value (without using bot): 0.426667403064039, USD Value Equivalent: 3137.5200818015637",3,BINANCE,,,,,,,,,,
9/4/18 12:35,BTC  ETH  MTL  BTC  ,0.02534061,"Total Bitcoin Value (without using bot): 0.4265843516817997, USD Value Equivalent: 3136.6726049945146",3,BINANCE,,,,,,,,,,
9/4/18 13:06,BTC  NEBL  ETH  ARK  BTC  ,0.0231007,"Total Bitcoin Value (without using bot): 0.42486231012912945, USD Value Equivalent: 3125.0704735317104",2,BINANCE,,,,,,,,,,
9/4/18 13:11,BTC  NEBL  ETH  USDT  BTC  ,0.0231007,"Total Bitcoin Value (without using bot): 0.4249481348487945, USD Value Equivalent: 3122.9905872986246",2,BINANCE,,,,,,,,,,
9/4/18 13:12,BTC  NANO  ETH  USDT  EOS  BTC  ,0.0231007,"Total Bitcoin Value (without using bot): 0.4251580017166617, USD Value Equivalent: 3124.860293657257",2,BINANCE,,,,,,,,,,
9/4/18 13:12,BTC  NANO  ETH  USDT  BTC  ,0.0231007,"Total Bitcoin Value (without using bot): 0.4251327428988281, USD Value Equivalent: 3124.736288624959",2,BINANCE,,,,,,,,,,
9/4/18 13:13,BTC  ZEN  BNB  ETH  BTC  ,0.0231007,"Total Bitcoin Value (without using bot): 0.42510865110317564, USD Value Equivalent: 3125.298902377538",2,BINANCE,,,,,,,,,,
9/4/18 13:13,BTC  MTL  ETH  BTC  ,0.0231007,"Total Bitcoin Value (without using bot): 0.4250983346077055, USD Value Equivalent: 3125.223057927218",2,BINANCE,,,,,,,,,,
9/4/18 13:16,BTC  XMR  ETH  NANO  BTC  ,0.0231007,"Total Bitcoin Value (without using bot): 0.42519205244305774, USD Value Equivalent: 3124.715133801409",2,BINANCE,,,,,,,,,,
9/4/18 13:23,BTC  KMD  ETH  LUN  BTC  ,0.0231007,"Total Bitcoin Value (without using bot): 0.42492958547673815, USD Value Equivalent: 3125.5313223114545",2,BINANCE,,,,,,,,,,
9/4/18 13:26,BTC  NXS  ETH  USDT  BTC  ,0.0231007,"Total Bitcoin Value (without using bot): 0.4249965955466876, USD Value Equivalent: 3125.3994638546083",2,BINANCE,,,,,,,,,,
9/4/18 13:26,BTC  NXS  ETH  USDT  LTC  BTC  ,0.0231007,"Total Bitcoin Value (without using bot): 0.42505640113840726, USD Value Equivalent: 3126.1304342225585",2,BINANCE,,,,,,,,,,
9/4/18 20:59,BTC  STRAT  ETH  ICX  BTC  ,0.02551972,"Total Bitcoin Value (without using bot): 0.42608965238696817, USD Value Equivalent: 3144.343502927465",2,BINANCE,,,,,,,,,,
9/5/18 10:45,BTC  ETH  HC  BTC  ,0.02553099,"Total Bitcoin Value (without using bot): 0.38990771082463777, USD Value Equivalent: 2693.7495531585123",2,BINANCE,,,,,,,,,,
9/5/18 10:47,BTC  NEO  ETH  WAN  BTC  ,0.02553099,"Total Bitcoin Value (without using bot): 0.3901841660131394, USD Value Equivalent: 2697.5089679193884",2,BINANCE,,,,,,,,,,
9/5/18 10:53,BTC  ETH  RLC  BTC  ,0.02335814,"Total Bitcoin Value (without using bot): 0.3893053477907449, USD Value Equivalent: 2689.973428996015",2,BINANCE,,,,,,,,,,
9/5/18 10:53,BTC  EOS  USDT  ETH  KMD  BTC  ,0.02335814,"Total Bitcoin Value (without using bot): 0.38876280784638734, USD Value Equivalent: 2683.8221001534957",2,BINANCE,,,,,,,,,,
9/5/18 10:53,BTC  ETH  HC  BTC  ,0.02335814,"Total Bitcoin Value (without using bot): 0.3882868030945244, USD Value Equivalent: 2677.60443836567",2,BINANCE,,,,,,,,,,
9/5/18 11:04,BTC  KMD  ETH  XMR  BTC  ,0.02335814,"Total Bitcoin Value (without using bot): 0.38979295252645996, USD Value Equivalent: 2701.7407084104498",2,BINANCE,,,,,,,,,,
9/5/18 11:23,BTC  XMR  ETH  BCD  BTC  ,0.01929451,"Total Bitcoin Value (without using bot): 0.38945142115837056, USD Value Equivalent: 2698.1019204712393",2,BINANCE,,,,,,,,,,
9/5/18 11:25,BTC  BCD  ETH  LUN  BTC  ,0.01929451,"Total Bitcoin Value (without using bot): 0.38957085706817424, USD Value Equivalent: 2695.547892040391",2,BINANCE,,,,,,,,,,
9/5/18 11:26,BTC  NEBL  ETH  KMD  BTC  ,0.01929451,"Total Bitcoin Value (without using bot): 0.389443883611472, USD Value Equivalent: 2692.9596691267134",2,BINANCE,,,,,,,,,,
9/5/18 11:30,BTC  NEO  ETH  WAVES  BTC  ,0.01929451,"Total Bitcoin Value (without using bot): 0.38906946128125164, USD Value Equivalent: 2683.2350478519097",2,BINANCE,,,,,,,,,,
9/5/18 11:31,BTC  PPT  ETH  LUN  BTC  ,0.01929451,"Total Bitcoin Value (without using bot): 0.38917545471292003, USD Value Equivalent: 2687.908383679357",2,BINANCE,,,,,,,,,,
